task_category,task_id,task_completion_rate,precision,recall,f1_score,prompt_tokens,completion_tokens,execution_time_seconds,total_tool_calls,search_tool_calls,cart_tool_calls,checkout_tool_calls,evaluation_strategy,checkout_successful,error_occurred
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task8,0,0.0,0.0,0.0,30029,302,7.5707173347473145,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task9,0,0.0,0.0,0.0,31575,307,10.734258890151978,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Specific,Webmall_Cheapest_Best_Fit_Specific_Task10,1,1.0,1.0,1.0,28638,183,7.8060290813446045,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task1,0,0.5,0.5,0.5,30301,348,9.27505898475647,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task2,0,0.25,1.0,0.4,30438,342,8.090090036392212,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task3,0,0.0,0.0,0.0,30279,189,7.162616729736328,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task4,0,0.4117647058823529,0.7,0.5185185185185185,31869,1226,25.071976900100708,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task5,0,0.0,0.0,0.0,21683,192,8.043109893798828,4,4,0,0,search_only,False,False
Webmall_Cheapest_Best_Fit_Vague,Webmall_Cheapest_Best_Fit_Vague_Task6,1,1.0,1.0,1.0,22235,324,8.968775033950806,4,4,0,0,search_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task1,1,1.0,1.0,1.0,35929,332,8.864518880844116,6,4,2,0,cart_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task2,1,1.0,1.0,1.0,36819,379,10.008296966552734,6,4,2,0,cart_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task3,0,0.6666666666666666,1.0,0.8,37251,354,9.021100044250488,7,4,3,0,cart_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task4,1,1.0,1.0,1.0,36175,402,10.545866966247559,7,4,3,0,cart_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task5,0,0.5,1.0,0.6666666666666666,36267,316,18.74130392074585,6,4,2,0,cart_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task6,1,1.0,1.0,1.0,36303,368,14.454583168029785,6,4,2,0,cart_only,False,False
Webmall_Add_To_Cart,Webmall_Add_To_Cart_Task7,0,0.3333333333333333,1.0,0.5,38731,576,13.220031023025513,10,4,6,0,cart_only,False,False
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task1,0,0.034482758620689655,0.3333333333333333,0.0625,24171,1129,15.486514329910278,4,4,0,0,search_only,False,False
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task2,0,0.5,1.0,0.6666666666666666,22126,584,10.01036810874939,4,4,0,0,search_only,False,False
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task3,0,0.6666666666666666,1.0,0.8,30624,432,10.522367000579834,4,4,0,0,search_only,False,False
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task4,0,0.17647058823529413,1.0,0.3,22922,1313,15.15748929977417,4,4,0,0,search_only,False,False
Webmall_Find_Compatible_Products,Webmall_Find_Compatible_Products_Task5,0,0.0,0.0,0.0,19924,373,8.102642059326172,4,4,0,0,search_only,False,False
Webmall_Substitutes,Webmall_Substitutes_Task1,0,0.0,0.0,0.0,22299,238,7.976705074310303,4,4,0,0,search_only,False,False
Webmall_Substitutes,Webmall_Substitutes_Task2,0,0.3333333333333333,1.0,0.5,23122,581,8.454221963882446,4,4,0,0,search_only,False,False
Webmall_Substitutes,Webmall_Substitutes_Task3,0,0.5,1.0,0.6666666666666666,32323,361,12.92527174949646,4,4,0,0,search_only,False,False
Webmall_Substitutes,Webmall_Substitutes_Task4,0,0.3333333333333333,1.0,0.5,29969,294,8.069742679595947,4,4,0,0,search_only,False,False
Webmall_Substitutes,Webmall_Substitutes_Task5,0,0.0,0.0,0.0,31701,394,9.90012788772583,4,4,0,0,search_only,False,False
Webmall_Substitutes,Webmall_Substitutes_Task6,0,0.5,1.0,0.6666666666666666,28701,256,7.5067949295043945,4,4,0,0,search_only,False,False
Webmall_Checkout,Webmall_Checkout_Task1,1,1.0,1.0,1.0,47132,356,12.53750491142273,6,4,1,1,checkout_successful_fallback,True,False
Webmall_Checkout,Webmall_Checkout_Task2,1,1.0,1.0,1.0,53840,361,12.200308799743652,6,4,1,1,checkout_successful,True,False
Webmall_Checkout,Webmall_Checkout_Task3,1,1.0,1.0,1.0,51095,431,15.646843910217285,6,4,1,1,checkout_successful_fallback,True,False
Webmall_Checkout,Webmall_Checkout_Task4,0,0.0,0.0,0.0,59735,316,13.747498989105225,4,2,1,1,checkout_successful_fallback,True,False
Webmall_Checkout,Webmall_Checkout_Task5,1,1.0,1.0,1.0,51421,376,11.996083974838257,6,4,1,1,checkout_successful,True,False
Webmall_Checkout,Webmall_Checkout_Task6,1,1.0,1.0,1.0,53858,418,16.09412693977356,6,4,1,1,checkout_successful_fallback,True,False
Webmall_Checkout,Webmall_Checkout_Task7,1,1.0,1.0,1.0,49768,361,10.99553108215332,6,4,1,1,checkout_successful_fallback,True,False
Webmall_Checkout,Webmall_Checkout_Task8,1,1.0,1.0,1.0,55495,550,15.867112874984741,6,4,1,1,checkout_successful_fallback,True,False
Webmall_EndToEnd,Webmall_EndToEnd_Task1,1,1.0,1.0,1.0,55929,383,17.28887677192688,6,4,1,1,checkout_successful_fallback,True,False
Webmall_EndToEnd,Webmall_EndToEnd_Task2,1,1.0,1.0,1.0,56585,419,17.390937089920044,6,4,1,1,checkout_successful_fallback,True,False
Webmall_EndToEnd,Webmall_EndToEnd_Task3,1,1.0,1.0,1.0,56669,376,12.050501108169556,6,4,1,1,checkout_successful,True,False
Webmall_EndToEnd,Webmall_EndToEnd_Task4,1,1.0,1.0,1.0,55267,401,12.112056970596313,6,4,1,1,checkout_successful_fallback,True,False
Webmall_EndToEnd,Webmall_EndToEnd_Task5,0,0.0,0.0,0.0,72910,417,15.925443649291992,7,4,2,1,checkout_successful,True,False
Webmall_EndToEnd,Webmall_EndToEnd_Task6,0,0.0,0.0,0.0,71946,389,19.289455890655518,7,4,2,1,checkout_successful,True,False
Webmall_EndToEnd,Webmall_EndToEnd_Task7,0,0.0,0.0,0.0,116336,720,24.982765674591064,13,8,4,1,checkout_successful,True,False
Webmall_EndToEnd,Webmall_EndToEnd_Task8,0,0.0,0.0,0.0,81664,577,26.77440118789673,11,8,2,1,checkout_successful_fallback,True,False
